recipe_name,ingredient,ingredient_amount,ingredient_unit
Apple Cake,all-purpose flour,5,lb
Apple Cake,ground cinnamon,0.44,oz
Apple Cake,baking soda,0.424,oz
Apple Cake,salt,0.5,oz
Apple Cake,butter,1,lb
Apple Cake,vegetable oil,3.5,oz
Apple Cake,sugar,28,oz
Apple Cake,vanilla extract,0.083,oz
Apple Cake,egg,6,none
Apple Cake,apple,32,oz
