recipe_name,ingredient,ingredient_amount,ingredient_unit
Puff Pastry,bread flour,5,lb
Puff Pastry,butter,5,lb
Puff Pastry,salt,1.52,oz
Ginger Cake,ginger,8,oz
Ginger Cake,molasses,21.3,oz
Ginger Cake,sugar,14,oz
Ginger Cake,vegetable oil,14,oz
Ginger Cake,all-purpose flour,21.25,oz
Ginger Cake,ground cinnamon,0.22,oz
Ginger Cake,ground cloves,0.083,oz
Ginger Cake,ground black pepper,0.083,oz
Ginger Cake,baking soda,0.847,oz
Ginger Cake,egg,4,none
