recipe_name,ingredient,ingredient_amount,ingredient_unit
Ginger Cookies,all-purpose flour,30.25,oz
Ginger Cookies,baking soda,0.64,oz
Ginger Cookies,ground cinnamon,0.275,oz
Ginger Cookies,salt,0.19,oz
Ginger Cookies,ginger,1,oz
Ginger Cookies,butter,17.5,oz
Ginger Cookies,sugar,21,oz
Ginger Cookies,egg,3,each
Ginger Cookies,molasses,8.5,oz
