recipe_name,ingredient,ingredient_amount,ingredient_unit
Flourless Chocolate Torte,bittersweet chocolate,36,oz
Flourless Chocolate Torte,unsweetened chocolate,42,oz
Flourless Chocolate Torte,sugar,54,oz
Flourless Chocolate Torte,egg,36,each
Flourless Chocolate Torte,butter,54,oz
