recipe_name,ingredient,ingredient_amount,ingredient_unit
White Bread,bread flour,19,oz
White Bread,salt,0.38,oz
White Bread,sugar,1.5,oz
White Bread,instant yeast,0.22,oz
White Bread,egg,1,each
White Bread,butter,2,oz
White Bread,milk,12,oz
English Muffins,bread flour,10,oz
English Muffins,sugar,0.25,oz
English Muffins,salt,0.19,oz
English Muffins,instant yeast,0.14,oz
English Muffins,unsalted butter,0.5,oz
English Muffins,milk,7,oz
